iter	RMSE
173	612.3745307
174	607.6188855
175	605.4561442
176	604.7800192
177	604.4895675
178	600.108091
179	594.3554038
180	593.8310481
181	593.4915928
182	593.1698861
183	590.4092443
184	587.7495778
185	587.5253053
186	587.2201193
187	587.1365904
188	586.8878475
189	586.2694507
190	586.0958
191	585.8194426
192	585.5360791
193	585.4640093
194	579.8802651
195	579.6164475
196	579.5475469
197	575.5700102
198	573.1398403
199	569.3305442
200	568.9023986
201	568.6957378
202	568.6025036
203	564.9530385
204	563.4884552
205	561.2672869
206	561.1969319
207	560.9870721
208	558.8724953
209	558.2908228
210	553.0887258
211	551.0153408
212	550.8917682
213	550.6513474
214	545.604518
215	545.4780912
216	543.7969535
217	543.532279
218	543.4193862
219	543.3044784
220	543.1662366
221	538.2681702
222	536.1401841
223	531.3299808
224	531.2299738
225	531.1349843
226	527.9732269
227	523.3230399
228	523.2480311
229	523.1412845
230	520.1487909
231	520.0699512
232	520.0075074
233	519.9354559
234	515.4411976
235	515.1556949
236	510.7643803
237	506.5857064
238	502.3886301
239	500.2013812
240	497.5421808
241	497.4799781
242	497.4114322
243	493.3150069
244	490.8383849
245	490.7743098
246	488.6048969
247	486.4567729
248	484.0883834
249	481.5716585
250	479.3511432
251	479.1273197
252	478.8989797
253	476.7935448
254	476.7296016
255	476.5163446
256	474.5187181
257	472.6223142
258	468.9106131
259	465.3493177
260	465.2852483
261	465.2419315
262	461.7607009
263	461.7160861
264	461.5219984
265	461.480064
266	459.341381
267	459.2800777
268	459.2435882
269	457.5325414
270	454.154629
271	453.9761017
272	453.9167523
273	451.7890927
274	451.7576387
275	451.700958
276	451.6725517
277	448.3294224
278	448.2751338
279	446.1461404
280	446.1171682
281	442.9102442
282	439.694005
283	436.4686397
284	433.38727
285	433.3567708
286	433.3313173
287	433.2174097
288	431.0870817
289	428.0601525
290	425.164678
291	425.0051296
292	422.1090657
293	422.066261
294	422.0256086
295	421.9104902
296	421.8733023
297	421.7638831
298	418.9324309
299	418.7481306
300	415.9822076
301	415.967663
302	413.7959855
303	411.1271593
304	411.0235288
305	410.9246929
306	408.2646767
307	408.1878157
308	408.0943977
309	408.0220015
310	407.9477998
311	407.8761035
312	407.7548686
313	405.1318258
314	403.6057658
315	403.5210025
316	403.454279
317	403.3746836
318	400.8452309
319	400.8190964
320	398.4047949
321	398.3271582
322	398.268984
323	398.2081329
324	398.1517182
325	395.7331709
326	393.4253813
327	393.3676133
328	393.2686287
329	390.9579243
330	390.9055353
331	390.8846647
332	390.7924426
333	390.686396
334	388.4293536
335	388.3937411
336	386.1901173
337	386.1550795
338	386.0574849
339	386.0022967
340	385.9705508
341	385.8851617
342	385.5358146
343	385.4561006
344	385.23111
345	383.0303775
346	382.9805515
347	382.9504483
348	380.7958287
349	378.5848965
350	378.5380627
351	378.3305332
352	378.258519
353	377.9226162
354	375.8441553
355	375.8164649
356	373.7883181
357	373.4760117
358	371.4639027
359	371.1751864
360	369.241901
361	367.0595391
362	365.1625073
363	364.4541262
364	364.3858914
365	364.2977538
366	364.2729417
367	364.1341779
368	364.0455801
369	364.0206189
370	363.8393573
371	363.5693876
372	363.2992826
373	361.4705142
374	361.4238982
375	361.2503089
376	361.1230155
377	360.4853721
378	359.8961841
379	359.7370607
380	357.5878205
381	357.3892899
382	357.3319261
383	356.0171163
384	355.9547023
385	355.7159099
386	355.561534
387	355.454424
388	355.4114657
389	355.3135813
390	355.2717782
391	355.1150981
392	354.8920463
393	354.7767549
394	352.8699397
395	352.7307445
396	350.8762927
397	350.8380708
398	350.7542002
399	348.9514195
400	348.2948774
401	348.1938157
402	348.1021807
403	348.0841604
404	347.869692
405	347.7974775
406	347.2126968
407	345.068606
408	344.5223386
409	342.4468599
410	341.9275689
411	340.282906
412	340.1565911
413	339.9244312
414	338.3577373
415	338.1494264
416	337.9528019
417	337.877957
418	337.786445
419	337.601468
420	336.8412391
421	334.7743536
422	333.7233485
423	333.5585178
424	333.4658903
425	331.759846
426	330.7999439
427	330.7418347
428	328.8930597
429	328.8101693
430	328.7338328
431	328.6876037
432	328.6454804
433	328.5624706
434	328.5172744
435	328.4838035
436	328.4521902
437	328.3764394
438	328.2652107
439	327.7930258
440	327.6842827
441	327.6077086
442	327.4607089
443	327.3889384
444	327.1542578
445	327.0850347
446	327.0568739
447	326.9633612
448	326.8756002
449	326.8380809
450	326.8038566
451	326.7038688
452	326.6385342
453	326.6071474
454	326.1941019
455	326.1407459
456	326.1123252
457	324.0840013
458	324.0262521
459	323.9321386
460	323.8670925
461	323.7876475
462	323.3936534
463	321.9276966
464	321.8374799
465	321.7855856
466	321.7384817
467	321.6086058
468	319.5692851
469	319.5060421
470	319.1329861
471	319.0150688
472	318.9720181
473	318.9535378
474	318.7481911
475	318.7111138
476	318.654317
477	318.6387136
478	316.704374
479	316.6419258
480	316.608493
481	315.1794694
482	314.9601602
483	313.3395344
484	312.7196059
485	311.8408686
486	311.6636177
487	311.6320453
488	309.7210235
489	309.6926309
490	309.6666998
491	309.1862398
492	308.7200537
493	308.696209
494	308.6237424
495	308.5990357
496	307.9335296
497	307.7686833
498	306.876341
499	306.8551246
500	306.8356715
501	306.8178159
502	305.4173847
503	305.4011762
504	305.376863
505	305.3612425
506	305.2744149
507	305.0578174
508	305.0253483
509	303.7445346
510	303.6176606
511	303.1160764
512	302.3432334
513	302.3239526
514	302.3085114
515	302.2934334
516	302.2758582
517	300.4023918
518	300.3080606
519	299.0815618
520	298.9442058
521	297.7519599
522	297.6909891
523	297.3942176
524	296.8751662
525	296.3989254
526	295.2592368
527	294.5337199
528	294.3423861
529	294.3251699
530	294.3117543
531	294.292334
532	294.2510167
533	294.1291457
534	293.0344439
535	293.0019389
536	291.9370647
537	291.9082874
538	291.4503233
539	291.4344716
540	291.2100762
541	290.7921742
542	290.4110337
543	290.1823626
544	289.7676631
545	289.3272301
546	289.3158814
547	288.9352202
548	288.8827185
549	288.5332998
550	287.5230737
551	287.5079961
552	287.4938364
553	286.7935837
554	286.4787927
555	285.3775982
556	283.4946262
557	283.2093768
558	282.7084901
559	282.6960306
560	282.6843502
561	282.2187618
562	281.268243
563	280.9823483
564	280.5003003
565	280.2530414
566	279.993858
567	278.1356324
568	277.9076993
569	277.8792147
570	277.7747083
571	277.7473892
572	277.7354839
573	276.8173757
574	275.0090886
575	274.9933052
576	274.9608384
577	274.3638536
578	274.1576108
579	273.7049749
580	273.698868
581	273.298799
582	272.3259637
583	270.5411032
584	268.7873537
585	268.6008108
586	268.3663032
587	266.6555344
588	266.4841511
589	266.4646825
590	266.3803537
591	266.2211819
592	265.1397035
593	265.0513871
594	264.2250352
595	262.5363718
596	261.7286038
597	261.2207487
598	261.1711713
599	261.0303144
600	260.9969871
601	260.8193634
602	260.7740114
603	260.7665188
604	260.7348687
605	260.5850274
606	260.5548337
607	260.3669848
608	258.6902279
609	257.0498643
610	257.0356722
611	256.9694113
612	256.3691478
613	256.0966668
614	256.0752229
615	256.0245664
616	255.8908426
617	254.2920062
618	253.7249191
619	252.583527
620	252.4610141
621	252.2835808
622	250.6998538
623	250.6699982
624	250.5480904
625	250.3959748
626	250.2771927
627	250.0707766
628	249.9543595
629	249.8136655
630	249.491169
631	249.4605519
632	249.3248269
633	248.8515532
634	248.6524454
635	248.1268898
636	248.1025946
637	248.0835773
638	248.0695296
639	247.995659
640	247.9074214
641	247.8802131
642	247.8542582
643	247.7674789
644	247.4846432
645	247.442162
646	247.415196
647	247.244628
648	247.2117641
649	247.1457849
650	247.0659066
651	246.8374383
652	246.8048627
653	246.7024738
654	246.6497819
655	246.5450251
656	246.472792
657	246.4421742
658	246.4141668
659	246.3425901
660	246.2260332
661	245.8761647
662	245.7899142
663	245.4287769
664	245.379675
665	245.2139592
666	245.1887203
667	245.1652115
668	245.1436926
669	245.0544219
670	245.034699
671	244.9530425
672	244.9132265
673	244.8926231
674	244.8720959
675	244.7820047
676	244.7629372
677	244.5689858
678	244.5323651
679	244.4515836
680	244.0776883
681	243.9837166
682	243.9644356
683	243.7153944
684	243.6080163
685	243.5337142
686	243.4668062
687	243.1835532
688	243.1667185
689	243.0733965
690	242.9997182
691	242.9577464
692	242.926301
693	242.6686927
694	242.5726118
695	242.4567013
696	242.202563
697	242.1817312
698	242.1215213
699	242.0991431
700	241.9164157
701	240.8491368
702	240.8362354
703	240.802381
704	240.7839233
705	240.7620495
706	240.7451824
707	240.68865
708	240.6595221
709	240.6474045
710	240.6257898
711	239.1136199
712	239.0955746
713	239.0692024
714	238.9025943
715	238.8870865
716	238.8660908
717	238.6124966
718	238.3794393
719	237.8718194
720	237.602361
721	237.5883834
722	237.2444629
723	237.187003
724	237.1702667
725	237.1223273
726	236.8108502
727	236.4943113
728	236.3905881
729	236.3658047
730	236.192073
731	235.9638095
732	235.9102712
733	235.8781702
734	235.5894183
735	235.3761211
736	234.3863796
737	233.754591
738	233.0681035
739	232.5273807
740	232.5180984
741	232.4910301
742	231.968999
743	231.9032228
744	231.2740295
745	230.8734969
746	230.6126147
747	230.5332546
748	230.5248667
749	230.4036842
750	230.0036488
751	229.9837684
752	229.9417918
753	229.4830193
754	229.3907514
755	229.3850921
756	229.0542402
757	228.8878151
758	228.8688372
759	228.7249558
760	228.7179717
761	228.7116331
762	228.4564557
763	228.4003591
764	226.8979861
765	226.0072809
766	225.9359229
767	225.7719354
768	225.5835778
769	225.3710644
770	225.1384715
771	224.513081
772	222.9906656
773	222.9430253
774	221.8924232
775	221.8560785
776	221.2709144
777	221.2011832
778	221.1853569
779	221.120029
780	221.0973155
781	220.9649633
782	220.9171764
783	220.8902557
784	220.8671655
785	220.6323026
786	220.6175747
787	220.5366328
788	220.4936293
789	220.2643167
790	220.1769027
791	220.1144641
792	220.1083615
793	220.0283745
794	219.9884746
795	219.7167969
796	219.6800524
797	219.470608
798	219.2979395
799	219.0568375
800	218.5141038
801	218.5003812
802	218.4822338
803	218.4287149
804	218.1866088
805	218.0126542
806	217.3915344
807	217.235998
808	217.16766
809	216.7699985
810	216.7338897
811	216.1893866
812	215.8821914
813	215.7602049
814	215.7452666
815	215.679323
816	215.530508
817	215.4210879
818	215.3433563
819	215.2810186
820	215.2656483
821	214.7466585
822	214.6866684
823	214.6692201
824	214.5528077
825	214.3595676
826	214.1514445
827	213.9463261
828	213.8863555
829	213.7784418
830	213.5886106
831	213.378265
832	213.3718212
833	213.2397934
834	212.7907648
835	212.691646
836	212.5765519
837	212.4332243
838	212.4083597
839	212.2703578
840	212.1473556
841	212.1136626
842	212.0346351
843	211.5191481
844	211.4093615
845	211.2488253
846	211.1481979
847	211.0063329
848	210.9915727
849	210.866035
850	210.8539899
851	210.6839084
852	210.6782141
853	210.5011091
854	210.3812596
855	210.2904921
856	210.2553985
857	210.2415245
858	210.144111
859	210.0328808
860	209.8218201
861	209.6656445
862	209.1604172
863	208.8285097
864	208.7633194
865	208.6752532
866	208.6287765
867	208.2548272
868	208.0964093
869	208.0561759
870	208.0112963
871	207.9010342
872	207.883604
873	207.7851583
874	207.6335488
875	207.5969826
876	207.5159486
877	207.3481525
878	207.306641
879	207.3014264
880	207.2754185
881	207.1288778
882	207.0539408
883	206.9862423
884	206.5894073
885	206.5578778
886	206.4998204
887	206.2845579
888	206.1523876
889	206.1372465
890	206.1081491
891	205.9909997
892	205.8942052
893	205.8384951
894	205.8207456
895	205.7735486
896	205.7343218
897	205.7078509
898	205.6373198
899	205.5947785
900	205.529498
901	205.4017516
902	205.2068736
903	205.1681265
904	205.1259855
905	205.1209656
906	205.0536261
907	204.9849672
908	204.9405106
909	204.8147429
910	204.7362654
911	204.6957978
912	204.5637418
913	204.5393594
914	204.4714944
915	204.3814235
916	204.362057
917	204.3214159
918	203.8648592
919	203.746412
920	203.6785611
921	203.6563732
922	203.2028679
923	203.0766829
924	203.0118442
925	202.9709762
926	202.5827857
927	202.5594383
928	202.3022887
929	202.1698028
930	202.0532064
931	202.0499933
932	201.7053687
933	201.595785
934	201.2027643
935	201.0843468
936	200.9990063
937	200.6426983
938	200.621347
939	200.5060008
940	200.3984621
941	200.3412901
942	200.2983752
943	200.2871759
944	200.1846495
945	200.1732941
946	199.7922574
947	199.7277906
948	199.6715286
949	199.2012379
950	198.7508189
951	198.713568
952	198.5764278
953	198.57358
954	198.192519
955	198.1357446
956	197.9737573
957	197.9368444
958	197.546729
959	197.4335572
960	197.4308799
961	197.2602438
962	197.1722929
963	197.160165
964	197.1276879
965	196.7805752
966	196.7630678
967	196.7085152
968	196.6544454
969	196.5513698
970	196.4003539
971	196.2908467
972	196.2485199
973	196.1385636
974	196.0798296
975	196.0458248
976	195.8875596
977	195.8530721
978	195.7750217
979	195.729359
980	195.6783393
981	195.5310923
982	195.4608301
983	195.2825279
984	195.1972037
985	194.8874167
986	194.8730367
987	194.7293545
988	194.4882663
989	194.3993416
990	194.3750266
991	194.3045336
992	194.2740288
993	194.1435379
994	192.7092096
995	192.7010793
996	192.6740897
997	192.6056261
998	192.5844966
999	192.5334682
